,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
63,PLUG,Plug Power Inc.,13.02,-0.76,-5.52%,15.295M,16.962M,7.726B,N/A,10/03/2023 01:46:54
64,GOLD,Barrick Gold Corporation,15.57,-0.05,-0.32%,14.762M,17.883M,27.371B,64.88,10/03/2023 01:46:54
65,RF,Regions Financial Corporation,20.66,-0.90,-4.17%,14.554M,7.36M,19.308B,9.52,10/03/2023 01:46:54
66,WU,The Western Union Company,11.35,-0.44,-3.73%,13.581M,6.742M,4.241B,4.85,10/03/2023 01:46:54
67,NOK,Nokia Oyj,4.7400,-0.0200,-0.42%,14.501M,17.536M,26.97B,6.08,10/03/2023 01:46:54
68,ABEV,Ambev S.A.,2.6200,-0.0100,-0.38%,14.087M,26.972M,41.243B,14.56,10/03/2023 01:46:54
69,IQ,"iQIYI, Inc.",7.19,-0.33,-4.39%,14.36M,21.024M,6.804B,N/A,10/03/2023 01:46:54
70,KO,The Coca-Cola Company,59.46,-0.58,-0.97%,12.543M,13.063M,257.265B,27.15,10/03/2023 01:46:54
71,CLVT,Clarivate Plc,10.57,-0.23,-2.13%,13.309M,6.531M,7.129B,N/A,10/03/2023 01:46:54
72,OXY,Occidental Petroleum Corporation,60.56,-1.41,-2.28%,13.137M,12.44M,54.508B,4.88,10/03/2023 01:46:54
73,BEKE,KE Holdings Inc.,16.84,-1.37,-7.52%,11.966M,10.165M,21.054B,N/A,10/03/2023 01:46:54
74,TFC,Truist Financial Corporation,41.62,-2.15,-4.91%,12.719M,6.748M,55.268B,9.89,10/03/2023 01:46:54
75,XOM,Exxon Mobil Corporation,109.13,-0.85,-0.77%,12.884M,16.286M,444.266B,8.23,10/03/2023 01:46:54
76,CTRA,Coterra Energy Inc.,25.11,-0.04,-0.16%,12.656M,9.202M,19.291B,4.94,10/03/2023 01:46:54
77,GRAB,Grab Holdings Limited,2.9900,-0.1700,-5.38%,14.26M,16.928M,11.482B,N/A,10/03/2023 01:46:54
78,LI,Li Auto Inc.,21.43,-0.86,-3.86%,12.607M,8.213M,21.486B,N/A,10/03/2023 01:46:54
79,CSCO,"Cisco Systems, Inc.",48.81,-0.30,-0.61%,12.498M,18.259M,199.917B,17.88,10/03/2023 01:46:54
80,SQ,"Block, Inc.",73.80,-4.15,-5.32%,12.36M,12.015M,44.43B,N/A,10/03/2023 01:46:54
81,CSX,CSX Corporation,29.76,-0.51,-1.68%,12.3M,13.336M,61.383B,15.50,10/03/2023 01:46:54
82,AGNC,AGNC Investment Corp.,10.45,-0.36,-3.33%,12.243M,11.121M,6.212B,N/A,10/03/2023 01:46:54
83,PDD,PDD Holdings Inc.,85.65,-7.38,-7.93%,12.189M,8.076M,108.295B,32.20,10/03/2023 01:46:54
84,MRVL,"Marvell Technology, Inc.",40.91,-2.24,-5.19%,12.03M,11.432M,34.904B,N/A,10/03/2023 01:46:54
85,FCX,Freeport-McMoRan Inc.,39.17,-1.37,-3.38%,11.769M,11.776M,56.04B,16.96,10/03/2023 01:46:54
86,APE,"AMC Entertainment Holdings, Inc.",1.7800,0.0000,0.00%,11.874M,32.725M,4.641B,N/A,10/03/2023 01:46:54
87,PBR-A,Petróleo Brasileiro S.A. - Petrobras,9.79,-0.16,-1.61%,8.464M,10.632M,67.073B,1.74,10/03/2023 01:46:54
88,PACW,PacWest Bancorp,19.89,-6.79,-25.45%,11.392M,1.423M,2.393B,5.90,10/03/2023 01:46:54
89,VOD,Vodafone Group Public Limited Company,11.57,-0.02,-0.17%,11.201M,9.213M,32.023B,15.03,10/03/2023 01:46:54
90,CMCSA,Comcast Corporation,35.47,-0.43,-1.20%,14.226M,21.007M,149.544B,29.31,10/03/2023 01:46:54
91,USB,U.S. Bancorp,42.30,-3.19,-7.01%,10.886M,8.127M,64.795B,11.46,10/03/2023 01:46:54
92,GGB,Gerdau S.A.,5.32,-0.26,-4.66%,10.643M,9.975M,9.091B,3.59,10/03/2023 01:46:54
93,TAL,TAL Education Group,6.64,-0.32,-4.60%,10.628M,10.298M,4.308B,N/A,10/03/2023 01:46:54
94,DKNG,DraftKings Inc.,18.74,-0.84,-4.29%,10.621M,13.999M,8.464B,N/A,10/03/2023 01:46:54
95,ORCL,Oracle Corporation,86.87,-1.62,-1.83%,9.557M,7.104M,234.223B,27.32,10/03/2023 01:46:54
96,BB,BlackBerry Limited,3.6600,+0.0400,+1.10%,10.517M,7.127M,2.129B,N/A,10/03/2023 01:46:54
97,HPE,Hewlett Packard Enterprise Company,14.71,-0.39,-2.58%,9.789M,13.428M,19.062B,22.63,10/03/2023 01:46:54
98,TSM,Taiwan Semiconductor Manufacturing Company Limited,88.88,-1.95,-2.15%,9.731M,13.631M,460.939B,13.95,10/03/2023 01:46:54
99,CWAN,"Clearwater Analytics Holdings, Inc.",14.88,-1.23,-7.64%,10.214M,"438,438",4.437B,N/A,10/03/2023 01:46:54
