Symbol,Name,Last Sale,Net Change,% Change,Market Cap
EQNR,Equinor ASA,$29.51,-0.32,-1.073%,"92,065,184,505"
ADP,"Automatic Data Processing, Inc. Common Stock",$218.98,-1.74,-0.788%,"90,734,700,667"
AMT,American Tower Corporation (REIT) Common Stock,$191.20,-4.57,-2.334%,"89,023,791,294"
MDLZ,"Mondelez International, Inc. Class A Common Stock",$64.76,-0.33,-0.507%,"88,287,751,541"
NOW,"ServiceNow, Inc. Common Stock",$428.50,-18.47,-4.132%,"86,985,500,000"
EL,"Estee Lauder Companies, Inc. (The) Common Stock",$243.48,-5.00,-2.012%,"86,975,973,809"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$7.16,-0.04,-0.556%,"86,912,281,488"
TJX,"TJX Companies, Inc. (The) Common Stock",$74.97,-2.21,-2.863%,"86,628,146,051"
PYPL,"PayPal Holdings, Inc. Common Stock",$75.93,0.09,0.119%,"85,905,174,517"
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$37.67,-0.03,-0.08%,"84,226,173,917"
MO,"Altria Group, Inc.",$46.74,-0.06,-0.128%,"83,455,864,862"
PGR,Progressive Corporation (The) Common Stock,$142.06,-1.70,-1.183%,"83,090,894,000"
CB,Chubb Limited  Common Stock,$198.87,-4.50,-2.213%,"82,450,479,013"
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",$743.75,-1.45,-0.195%,"81,310,864,425"
CI,The Cigna Group Common Stock,$271.93,-7.39,-2.646%,"80,783,876,680"
ISRG,"Intuitive Surgical, Inc. Common Stock",$228.57,-2.52,-1.09%,"80,088,568,929"
MMC,"Marsh & McLennan Companies, Inc. Common Stock",$158.83,-3.42,-2.108%,"78,552,783,562"
CNI,Canadian National Railway Company Common Stock,$116.10,-1.47,-1.25%,"78,068,235,299"
ZTS,Zoetis Inc. Class A Common Stock,$167.49,-1.15,-0.682%,"77,612,641,063"
ENB,Enbridge Inc Common Stock,$37.99,-0.40,-1.042%,"76,926,253,590"
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$16.47,-0.25,-1.495%,"76,067,265,636"
SLB,Schlumberger N.V. Common Stock,$52.19,-1.35,-2.521%,"74,119,637,397"
TGT,Target Corporation Common Stock,$160.64,-2.87,-1.755%,"73,944,212,536"
INFY,Infosys Limited American Depositary Shares,$17.72,-0.44,-2.423%,"73,868,914,284"
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$286.88,1.70,0.596%,"73,754,392,594"
FISV,"Fiserv, Inc. Common Stock",$115.41,-1.66,-1.418%,"73,288,590,251"
DUK,Duke Energy Corporation (Holding Company) Common Stock,$94.22,-0.45,-0.475%,"72,555,314,378"
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$11.04,-0.24,-2.128%,"72,003,990,955"
IBN,ICICI Bank Limited Common Stock,$20.54,-0.65,-3.067%,"71,689,032,676"
ITW,Illinois Tool Works Inc. Common Stock,$234.79,-2.34,-0.987%,"71,626,948,825"
ABNB,"Airbnb, Inc. Class A Common Stock",$119.84,-5.16,-4.128%,"71,472,456,999"
SO,Southern Company (The) Common Stock,$64.55,-0.18,-0.278%,"70,289,006,171"
CHTR,"Charter Communications, Inc. Class A Common Stock New",$343.01,-10.86,-3.069%,"70,282,466,703"
NOC,Northrop Grumman Corporation Common Stock,$459.04,-6.21,-1.335%,"70,257,619,424"
HCA,"HCA Healthcare, Inc. Common Stock",$252.13,0.70,0.278%,"69,831,538,432"
ETN,"Eaton Corporation, PLC Ordinary Shares",$174.37,-2.84,-1.603%,"69,346,949,000"
CP,Canadian Pacific Railway Limited Common Stock,$73.98,-1.43,-1.896%,"68,838,390,000"
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$33.50,-0.09,-0.268%,"68,585,872,446"
EOG,"EOG Resources, Inc. Common Stock",$115.00,-2.83,-2.402%,"67,549,792,040"
BSX,Boston Scientific Corporation Common Stock,$47.06,0.17,0.363%,"67,404,568,931"
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",$21.30,-0.01,-0.047%,"67,372,965,000"
AMOV,"America Movil, S.A.B. de C.V. Class A American Depositary Shares",$21.23,0.07,0.331%,"67,151,551,500"
LRCX,Lam Research Corporation Common Stock,$490.28,-3.12,-0.632%,"66,156,524,549"
BDX,"Becton, Dickinson and Company Common Stock",$232.23,-3.00,-1.275%,"65,930,478,322"
JD,"JD.com, Inc. American Depositary Shares",$41.68,-5.30,-11.281%,"65,250,040,000"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$3.89,-0.09,-2.261%,"65,190,624,400"
UBS,UBS Group AG Registered Ordinary Shares,$20.93,-0.46,-2.151%,"65,044,720,082"
USB,U.S. Bancorp Common Stock,$42.30,-3.19,-7.013%,"64,761,300,000"
UBER,"Uber Technologies, Inc. Common Stock",$32.32,-1.69,-4.969%,"64,459,245,229"
BN,Brookfield Corporation Class A Limited Voting Shares,$31.55,-0.88,-2.714%,"63,924,292,558"
CME,CME Group Inc. Class A Common Stock,$177.47,-3.35,-1.853%,"63,840,948,924"
BMO,Bank Of Montreal Common Stock,$90.65,-1.60,-1.734%,"63,754,051,177"
CNQ,Canadian Natural Resources Limited Common Stock,$57.35,-0.44,-0.761%,"63,488,227,850"
EQIX,"Equinix, Inc. Common Stock REIT",$682.88,-11.14,-1.605%,"63,333,509,613"
ABB,ABB Ltd Common Stock,$33.93,0.03,0.088%,"63,279,450,000"
BX,Blackstone Inc. Common Stock,$84.99,-6.52,-7.125%,"63,118,142,892"
APD,"Air Products and Chemicals, Inc. Common Stock",$284.08,-5.96,-2.055%,"63,089,296,312"
WM,"Waste Management, Inc. Common Stock",$150.62,0.72,0.48%,"61,475,878,640"
CSX,CSX Corporation Common Stock,$29.76,-0.51,-1.685%,"61,383,137,716"
ATVI,"Activision Blizzard, Inc. Common Stock",$78.37,-1.11,-1.397%,"61,334,346,250"
GD,General Dynamics Corporation Common Stock,$222.87,-4.19,-1.845%,"61,162,226,135"
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$9.00,0.05,0.559%,"60,994,664,730"
AON,Aon plc Class A Ordinary Shares (Ireland),$296.77,-4.01,-1.333%,"60,880,103,816"
HUM,Humana Inc. Common Stock,$486.33,-2.98,-0.609%,"60,779,024,636"
MU,"Micron Technology, Inc. Common Stock",$55.60,-1.29,-2.268%,"60,669,416,291"
MELI,"MercadoLibre, Inc. Common Stock","$1,201.79",-50.78,-4.054%,"60,443,899,458"
CL,Colgate-Palmolive Company Common Stock,$71.34,-0.62,-0.862%,"59,239,222,879"
MPC,Marathon Petroleum Corporation Common Stock,$128.38,0.51,0.399%,"58,284,520,000"
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),$30.51,0.10,0.329%,"58,243,714,420"
MMM,3M Company Common Stock,$105.52,-1.64,-1.53%,"58,088,760,000"
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$48.67,-1.15,-2.308%,"57,984,269,920"
STLA,Stellantis N.V. Common Shares,$17.97,-0.54,-2.917%,"57,744,298,955"
TRI,Thomson Reuters Corp Ordinary Shares,$121.46,-1.23,-1.003%,"57,584,186,000"
SCCO,Southern Copper Corporation Common Stock,$73.33,-1.58,-2.109%,"56,691,310,732"
SHW,Sherwin-Williams Company (The) Common Stock,$217.19,-2.84,-1.291%,"56,283,358,521"
EPD,Enterprise Products Partners L.P. Common Stock,$25.81,-0.21,-0.807%,"56,151,453,699"
FCX,"Freeport-McMoRan, Inc. Common Stock",$39.17,-1.37,-3.379%,"56,040,271,798"
ICE,Intercontinental Exchange Inc. Common Stock,$100.10,-2.51,-2.446%,"55,941,009,925"
PANW,"Palo Alto Networks, Inc. Common Stock",$184.42,-3.96,-2.102%,"55,760,664,477"
CCI,Crown Castle Inc. Common Stock,$127.86,-2.18,-1.676%,"55,369,517,408"
PNC,"PNC Financial Services Group, Inc. (The) Common Stock",$137.87,-7.26,-5.002%,"55,285,870,000"
TFC,Truist Financial Corporation Common Stock,$41.62,-2.15,-4.912%,"55,222,622,980"
SNPS,"Synopsys, Inc. Common Stock",$361.92,-7.10,-1.924%,"55,121,022,940"
OXY,Occidental Petroleum Corporation Common Stock,$60.56,-1.59,-2.558%,"55,043,840,863"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$43.00,-0.70,-1.602%,"54,893,949,081"
MCO,Moody's Corporation Common Stock,$295.05,0.93,0.316%,"54,053,160,000"
CDNS,"Cadence Design Systems, Inc. Common Stock",$196.40,-2.90,-1.455%,"53,605,416,000"
NTES,"NetEase, Inc. American Depositary Shares",$81.41,-1.65,-1.987%,"53,469,937,717"
MNST,Monster Beverage Corporation,$102.00,-1.12,-1.086%,"53,256,776,112"
MRNA,"Moderna, Inc. Common Stock",$137.36,-4.72,-3.322%,"52,771,029,222"
GM,General Motors Company Common Stock,$37.82,-1.94,-4.879%,"52,745,179,887"
FDX,FedEx Corporation Common Stock,$207.83,-1.71,-0.816%,"52,455,697,606"
KLAC,KLA Corporation Common Stock,$378.47,-8.94,-2.308%,"52,410,436,281"
PSA,Public Storage Common Stock,$295.70,-5.17,-1.718%,"51,936,271,332"
MAR,Marriott International Class A Common Stock,$167.73,-5.71,-3.292%,"51,681,161,999"
ORLY,"O'Reilly Automotive, Inc. Common Stock",$822.31,-8.25,-0.993%,"51,273,677,161"
VLO,Valero Energy Corporation Common Stock,$132.28,-0.49,-0.369%,"50,997,019,214"
MET,"MetLife, Inc. Common Stock",$64.67,-2.83,-4.193%,"50,384,397,000"
VMW,"Vmware, Inc. Common stock, Class A",$118.33,-1.87,-1.556%,"50,340,720,585"
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),$16.01,0.32,2.04%,"49,968,568,449"
F,Ford Motor Company Common Stock,$12.45,-0.53,-4.083%,"49,627,964,169"
ING,"ING Group, N.V. Common Stock",$13.51,-0.40,-2.876%,"49,052,970,938"
KDP,Keurig Dr Pepper Inc. Common Stock,$34.56,-0.22,-0.633%,"48,945,645,170"
HSY,The Hershey Company Common Stock,$238.62,-0.36,-0.151%,"48,687,059,821"
DG,Dollar General Corporation Common Stock,$217.46,-0.20,-0.092%,"48,618,575,791"
NSC,Norfolk Southern Corporation Common Stock,$213.21,-3.10,-1.433%,"48,565,443,288"
RACE,Ferrari N.V. Common Shares,$264.68,-4.98,-1.847%,"48,282,082,065"
AIG,"American International Group, Inc. New Common Stock",$55.80,-1.55,-2.703%,"48,073,135,957"
PXD,Pioneer Natural Resources Company Common Stock,$202.02,-2.30,-1.126%,"47,999,696,041"
EMR,Emerson Electric Company Common Stock,$83.44,-2.18,-2.546%,"47,677,616,000"
FTNT,"Fortinet, Inc. Common Stock",$59.95,-1.84,-2.978%,"47,266,479,216"
PSX,Phillips 66 Common Stock,$101.14,1.83,1.843%,"47,131,240,000"
KKR,KKR & Co. Inc. Common Stock,$54.45,-2.55,-4.474%,"46,887,465,527"
E,ENI S.p.A. Common Stock,$27.94,-0.31,-1.097%,"46,735,100,284"
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$4.76,-0.10,-2.058%,"46,652,125,302"
WDAY,"Workday, Inc. Class A Common Stock",$181.47,-2.02,-1.101%,"46,637,790,000"
NXPI,NXP Semiconductors N.V. Common Stock,$179.83,-2.68,-1.468%,"46,600,222,233"
SRE,DBA Sempra Common Stock,$147.62,-1.00,-0.673%,"46,401,891,046"
GIS,"General Mills, Inc. Common Stock",$78.64,-0.53,-0.669%,"46,366,986,785"
APH,Amphenol Corporation Common Stock,$77.95,-1.35,-1.702%,"46,349,421,866"
KHC,The Kraft Heinz Company Common Stock,$37.79,-0.13,-0.343%,"46,292,877,617"
EW,Edwards Lifesciences Corporation Common Stock,$76.03,-1.24,-1.605%,"46,250,067,498"
MCK,McKesson Corporation Common Stock,$335.97,-2.31,-0.683%,"46,007,472,095"
AEP,"American Electric Power Company, Inc. Common Stock",$88.76,-0.54,-0.605%,"45,610,540,059"
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$7.57,-0.14,-1.816%,"45,610,132,389"
MCHP,Microchip Technology Incorporated Common Stock,$83.26,-1.26,-1.491%,"45,609,486,384"
ANET,"Arista Networks, Inc. Common Stock",$148.65,0.25,0.168%,"45,545,673,832"
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",$61.91,-0.15,-0.242%,"45,520,561,119"
AZO,"AutoZone, Inc. Common Stock","$2,422.19",-37.38,-1.52%,"45,454,020,639"
BIDU,"Baidu, Inc. ADS",$131.46,-10.64,-7.488%,"45,426,070,439"
D,"Dominion Energy, Inc. Common Stock",$54.27,-0.69,-1.255%,"45,325,957,595"
PH,Parker-Hannifin Corporation Common Stock,$350.93,-11.74,-3.237%,"45,012,397,908"
ECL,Ecolab Inc. Common Stock,$157.65,-2.09,-1.308%,"44,903,143,659"
ROP,"Roper Technologies, Inc. Common Stock",$422.80,-1.70,-0.40%,"44,838,808,431"
SU,Suncor Energy  Inc. Common Stock,$33.71,-0.40,-1.173%,"44,834,527,880"
HMC,"Honda Motor Company, Ltd. Common Stock",$26.40,-0.15,-0.565%,"44,456,553,610"
MSI,"Motorola Solutions, Inc. Common Stock",$265.18,-2.41,-0.901%,"44,351,373,828"
SQ,"Block, Inc. Class A Common Stock,",$73.80,-4.15,-5.324%,"44,137,647,032"
CTAS,Cintas Corporation Common Stock,$434.27,-4.93,-1.122%,"44,130,725,415"
SNOW,Snowflake Inc. Class A Common Stock,$136.30,-6.35,-4.451%,"43,834,080,000"
STM,STMicroelectronics N.V. Common Stock,$48.54,-0.84,-1.701%,"43,819,833,177"
SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",$77.57,-2.24,-2.807%,"43,574,013,557"
TEAM,Atlassian Corporation Class A Common Stock,$169.99,-7.91,-4.446%,"43,566,288,666"
JCI,Johnson Controls International plc Ordinary Share,$63.30,-1.72,-2.645%,"43,498,088,500"
TT,Trane Technologies plc,$189.08,-2.38,-1.243%,"43,313,449,003"
DXCM,"DexCom, Inc. Common Stock",$112.08,-0.66,-0.585%,"43,309,246,375"
WDS,"Woodside Energy Group Limited American Depositary Shares, each representing one Ordinary Share",$22.80,-0.17,-0.74%,"43,291,494,779"
ADSK,"Autodesk, Inc. Common Stock",$200.49,-4.02,-1.966%,"43,259,224,872"
LVS,Las Vegas Sands Corp. Common Stock,$56.52,-2.53,-4.285%,"43,196,730,929"
CMG,"Chipotle Mexican Grill, Inc. Common Stock","$1,551.10",18.04,1.177%,"42,844,246,882"
MSCI,MSCI Inc Common Stock,$535.04,-0.81,-0.151%,"42,781,792,515"
ADM,Archer-Daniels-Midland Company Common Stock,$77.99,-1.92,-2.403%,"42,739,196,953"
CTVA,"Corteva, Inc. Common Stock ",$59.92,-2.28,-3.666%,"42,712,354,160"
NUE,Nucor Corporation Common Stock,$167.85,-5.44,-3.139%,"42,466,050,000"
O,Realty Income Corporation Common Stock,$63.44,-1.10,-1.704%,"41,886,504,942"
KMB,Kimberly-Clark Corporation Common Stock,$122.61,-1.19,-0.961%,"41,381,776,061"
HES,Hess Corporation Common Stock,$133.88,-1.98,-1.457%,"41,276,337,428"
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.62,-0.01,-0.38%,"41,243,344,890"
PUK,Prudential Public Limited Company Common Stock,$29.91,-0.20,-0.664%,"41,121,307,582"
A,"Agilent Technologies, Inc. Common Stock",$138.93,-1.97,-1.398%,"41,103,840,220"
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$3.23,-0.02,-0.615%,"40,928,575,795"
RSG,"Republic Services, Inc. Common Stock",$128.32,0.34,0.266%,"40,549,240,108"
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$128.06,-1.55,-1.196%,"40,525,434,245"
TDG,Transdigm Group Incorporated Common Stock,$741.55,-22.94,-3.001%,"40,487,194,359"
LYG,Lloyds Banking Group Plc American Depositary Shares,$2.40,-0.04,-1.639%,"40,444,073,002"
TRV,"The Travelers Companies, Inc. Common Stock",$173.92,-3.85,-2.166%,"40,365,835,612"
EXC,Exelon Corporation Common Stock,$40.59,-0.66,-1.60%,"40,351,612,129"
PAYX,"Paychex, Inc. Common Stock",$111.05,-1.64,-1.455%,"40,029,810,155"
NTR,Nutrien Ltd. Common Shares,$78.79,-2.53,-3.111%,"39,965,920,613"
ET,Energy Transfer LP Common Units ,$12.90,-0.26,-1.976%,"39,920,259,504"
AFL,AFLAC Incorporated Common Stock,$64.84,-1.28,-1.936%,"39,893,199,040"
STZ,"Constellation Brands, Inc. Common Stock",$215.80,-3.50,-1.596%,"39,814,715,660"
TRP,TC Energy Corporation Common Stock,$39.59,-0.92,-2.271%,"39,590,000,000"
BCE,"BCE, Inc. Common Stock",$43.40,-0.52,-1.184%,"39,580,800,000"
BSBR,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",$5.30,-0.13,-2.394%,"39,497,038,844"
AJG,Arthur J. Gallagher & Co. Common Stock,$185.45,-3.53,-1.868%,"39,332,832,300"
IDXX,"IDEXX Laboratories, Inc. Common Stock",$472.28,-9.94,-2.061%,"39,153,604,056"
LHX,"L3Harris Technologies, Inc. Common Stock",$204.39,-3.54,-1.702%,"38,916,427,270"
DOW,Dow Inc. Common Stock ,$55.10,-1.16,-2.062%,"38,838,883,592"
